Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	S:\Proteomics_Restored\6883\DIA\raw\B000254_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio02_DIA.raw	S:\Proteomics_Restored\6883\DIA\raw\B000258_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio04_DIA.raw	S:\Proteomics_Restored\6883\DIA\raw\B000262_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio08_DIA.raw	S:\Proteomics_Restored\6883\DIA\raw\B000278_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio02_DIA_2.raw	S:\Proteomics_Restored\6883\DIA\raw\B000282_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio04_DIA_2.raw	S:\Proteomics_Restored\6883\DIA\raw\B000286_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio08_DIA_2.raw	S:\Proteomics_Restored\6883\DIA\raw\B000302_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio02_DIA_3.raw	S:\Proteomics_Restored\6883\DIA\raw\B000306_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio04_DIA_3.raw	S:\Proteomics_Restored\6883\DIA\raw\B000310_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio08_DIA_3.raw
P21306	ATP5E_YEAST	ATP15	ATP synthase subunit epsilon, mitochondrial	3	3	1.5501e+07	1.63459e+07	1.70406e+07	1.55949e+07	1.59787e+07	1.57115e+07	1.5151e+07	1.61281e+07	1.66498e+07
P21373	UTR1_YEAST	UTR1	NAD(+) kinase	11	11	6.90208e+06	7.99976e+06	7.77094e+06	6.42979e+06	6.7304e+06	7.82592e+06	7.03211e+06	7.43426e+06	7.92908e+06
P21374	ISY1_YEAST	ISY1	Pre-mRNA-splicing factor ISY1	1	1	228320		179533	182511		236501	132607	239928	250506
P21375	OSM1_YEAST	OSM1	Fumarate reductase 2	15	15	1.07732e+07	9.81903e+06	9.42824e+06	9.40309e+06	9.66146e+06	9.49797e+06	9.96148e+06	1.15321e+07	9.53852e+06
P21524	RIR1_YEAST	RNR1	Ribonucleoside-diphosphate reductase large chain 1	20	13	1.13122e+07	1.14334e+07	1.18937e+07	1.18169e+07	1.16225e+07	1.23551e+07	1.14846e+07	1.11694e+07	1.15808e+07
P21538	REB1_YEAST	REB1	DNA-binding protein REB1	17	16	1.7133e+07	1.90316e+07	1.85292e+07	1.7015e+07	1.77885e+07	1.84785e+07	1.74652e+07	1.9016e+07	1.58359e+07
P21560	CBP3_YEAST	CBP3	Protein CBP3, mitochondrial	12	12	7.86555e+06	7.385e+06	8.07553e+06	8.77415e+06	8.41539e+06	8.56982e+06	8.40303e+06	8.6416e+06	8.20872e+06
P21576	VPS1_YEAST	VPS1	Vacuolar protein sorting-associated protein 1	39	39	4.9832e+07	5.11337e+07	4.95114e+07	5.11081e+07	5.15588e+07	4.97038e+07	5.064e+07	5.07415e+07	4.90777e+07
P21734	UBC1_YEAST	UBC1	Ubiquitin-conjugating enzyme E2 1	9	9	3.31948e+07	3.19416e+07	3.19672e+07	3.17513e+07	3.35079e+07	3.28029e+07	3.19279e+07	3.3184e+07	3.03638e+07
P21801	SDHB_YEAST	SDH2	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial	2	2	3.97124e+06	4.56773e+06	2.79185e+06	2.94263e+06	2.75423e+06		3.39271e+06	4.3557e+06	2.57215e+06
P21825	SEC62_YEAST	SEC62	Translocation protein SEC62	5	5	6.61489e+06	8.17564e+06	7.16013e+06	8.46082e+06	8.48467e+06	8.35822e+06	7.02512e+06	7.35554e+06	6.91138e+06
P21827	RCC1_YEAST	SRM1	Guanine nucleotide exchange factor SRM1	11	11	2.80727e+07	2.91155e+07	3.01137e+07	2.92095e+07	2.90136e+07	2.88438e+07	2.81905e+07	2.81308e+07	2.78487e+07
P21951	DPOE_YEAST	POL2	DNA polymerase epsilon catalytic subunit A	10	10	1.24435e+06	1.18393e+06	1.16436e+06	1.19421e+06	1.17474e+06	912462	1.34904e+06	1.34547e+06	1.33808e+06
P21954	IDHP_YEAST	IDP1	Isocitrate dehydrogenase [NADP], mitochondrial	21	17	6.767e+07	6.23696e+07	6.67731e+07	6.60734e+07	6.54442e+07	6.55725e+07	6.68136e+07	6.49202e+07	6.3163e+07
P21965	MCK1_YEAST	MCK1	Protein kinase MCK1	20	19	7.87577e+07	7.35776e+07	7.0603e+07	7.29762e+07	7.58682e+07	7.29517e+07	7.45456e+07	7.40139e+07	7.23753e+07
P22007	FNTB_YEAST	RAM1	Protein farnesyltransferase subunit beta	4	4	1.44287e+06	1.40543e+06	1.17941e+06	1.11794e+06	1.20519e+06	1.28326e+06	1.05283e+06	1.11088e+06	1.21427e+06
P22023	KRE5_YEAST	KRE5	Killer toxin-resistance protein 5	19	19	5.6916e+06	5.7426e+06	6.29006e+06	5.2982e+06	5.28696e+06	5.71583e+06	5.76831e+06	6.00694e+06	6.28405e+06
P22082	SNF2_YEAST	SNF2	Transcription regulatory protein SNF2	13	13	3.58014e+06	2.84908e+06	3.68411e+06	3.47209e+06	3.20216e+06	3.3249e+06	2.38855e+06	2.88058e+06	3.6386e+06
P22108	APA2_YEAST	APA2	Diadenosine 5',5'''-P1,P4-tetraphosphate phosphorylase 2	5	5	1.79968e+06	1.9901e+06	1.76019e+06	1.28121e+06	1.69537e+06	1.56281e+06	1.71944e+06	1.49828e+06	1.91961e+06
P22133	MDHC_YEAST	MDH2	Malate dehydrogenase, cytoplasmic	8	8	1.03702e+08	9.68393e+07	9.80043e+07	9.44626e+07	1.11532e+08	1.12983e+08	1.08799e+08	1.04172e+08	9.64508e+07
P22134	MAG_YEAST	MAG1	DNA-3-methyladenine glycosylase	6	6	8.61737e+06	8.43285e+06	8.6182e+06	7.1903e+06	6.95538e+06	6.07513e+06	9.79163e+06	9.19912e+06	8.55781e+06
P22135	ATP12_YEAST	ATP12	Protein ATP12, mitochondrial	7	7	6.92495e+06	6.42699e+06	4.9008e+06	5.16777e+06	7.22502e+06	6.13633e+06	4.40983e+06	5.56215e+06	4.53963e+06
P22137	CLH_YEAST	CHC1	Clathrin heavy chain	68	68	1.75017e+08	1.72872e+08	1.76063e+08	1.76536e+08	1.81312e+08	1.7655e+08	1.77622e+08	1.84835e+08	1.7648e+08
P22138	RPA2_YEAST	RPA135	DNA-directed RNA polymerase I subunit RPA135	32	32	9.91081e+06	9.68105e+06	9.83249e+06	1.00926e+07	9.39389e+06	9.80868e+06	9.78085e+06	9.94305e+06	9.64129e+06
P22139	RPAB5_YEAST	RPB10	DNA-directed RNA polymerases I, II, and III subunit RPABC5	2	2	2.2378e+06	2.33316e+06	2.86267e+06	1.79479e+06	2.68845e+06	2.73919e+06	2.29724e+06	3.73006e+06	2.84329e+06
P22140	EPT1_YEAST	EPT1	Choline/ethanolaminephosphotransferase 1	1	1	7.14578e+06	9.27665e+06	7.29331e+06	9.14407e+06	6.24377e+06	6.51574e+06	5.12725e+06	6.52438e+06	7.37802e+06
P22141	PSB4_YEAST	PRE1	Proteasome subunit beta type-4	5	5	4.40587e+07	4.25847e+07	4.58686e+07	4.35831e+07	4.30902e+07	4.28572e+07	4.21036e+07	4.02653e+07	3.86231e+07
P22146	GAS1_YEAST	GAS1	1,3-beta-glucanosyltransferase GAS1	9	9	8.85636e+07	9.63461e+07	1.03138e+08	9.4731e+07	9.61493e+07	1.0424e+08	1.00631e+08	1.04215e+08	1.00163e+08
P22147	XRN1_YEAST	XRN1	5'-3' exoribonuclease 1	50	50	5.52042e+07	5.37674e+07	5.22813e+07	5.4623e+07	5.38764e+07	5.48273e+07	5.51211e+07	5.54933e+07	5.22261e+07
P22148	MSN1_YEAST	MSN1	Protein MSN1	2	2			532628	359982		505774	351011	358606	
P22149	AFT1_YEAST	AFT1	Iron-regulated transcriptional activator AFT1	1	1	62761.9	83720.3	79036	77883.8	77475	73588.5		59095.2	62012.9
P22202	HSP74_YEAST	SSA4	Heat shock protein SSA4	27	12	2.2302e+09	2.39525e+09	2.4425e+09	2.21881e+09	2.41627e+09	2.39012e+09	2.23251e+09	2.57164e+09	2.52551e+09
P22203	VATE_YEAST	VMA4	V-type proton ATPase subunit E	13	13	1.9276e+08	1.85634e+08	1.7525e+08	1.96441e+08	1.94667e+08	1.84103e+08	1.96086e+08	1.97128e+08	1.86753e+08
P22204	DBF2_YEAST	DBF2	Cell cycle protein kinase DBF2	7	4	2.094e+06	2.12267e+06	2.35329e+06	2.16649e+06	2.27933e+06	2.30844e+06	2.12998e+06	2.24959e+06	2.292e+06
P22211	NPR1_YEAST	NPR1	Nitrogen permease reactivator protein	11	11	2.03067e+06	2.0545e+06	2.04412e+06	2.02946e+06	1.98108e+06	1.9651e+06	1.83031e+06	1.79452e+06	1.96307e+06
