Channel	Condition	Run	BioReplicate	Mixture	Fraction	TechRepMixture	File.Name	Duration	Diet	runCol	quantCols
130C	Long_LF	PAMI-176_Mouse_K-T_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	PAMI-176_Mouse_K-T.X130_C	PAMI-176_Mouse_K-T	40ug_26pctACN_25cm_120min_20160223	1	PAMI-176_Mouse_K-T_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	Long	LF	PAMI-176_Mouse_K-T_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	Abundance..130C
131	Short_HF	PAMI-176_Mouse_K-T_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	PAMI-176_Mouse_K-T.X131	PAMI-176_Mouse_K-T	40ug_20pctACN_25cm_120min_20160223	1	PAMI-176_Mouse_K-T_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	Short	HF	PAMI-176_Mouse_K-T_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	Abundance..131
131	Short_HF	PAMI-176_Mouse_K-T_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	PAMI-176_Mouse_K-T.X131	PAMI-176_Mouse_K-T	40ug_26pctACN_25cm_120min_20160223	1	PAMI-176_Mouse_K-T_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	Short	HF	PAMI-176_Mouse_K-T_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	Abundance..131
126	Long_HF	PAMI-194_Mouse_U-Dd_TMT_40ug_26pctACN_25cm_120min_20160426_OT.raw	PAMI-194_Mouse_U-Dd.X126	PAMI-194_Mouse_U-Dd	40ug_26pctACN_25cm_120min_20160426	1	PAMI-194_Mouse_U-Dd_TMT_40ug_26pctACN_25cm_120min_20160426_OT.raw	Long	HF	PAMI-194_Mouse_U-Dd_TMT_40ug_26pctACN_25cm_120min_20160426_OT.raw	Abundance..126
126	Long_HF	PAMI-194_Mouse_U-Dd_TMT_40ug_20pctACN_25cm_120min_20160426_OT.raw	PAMI-194_Mouse_U-Dd.X126	PAMI-194_Mouse_U-Dd	40ug_20pctACN_25cm_120min_20160426	1	PAMI-194_Mouse_U-Dd_TMT_40ug_20pctACN_25cm_120min_20160426_OT.raw	Long	HF	PAMI-194_Mouse_U-Dd_TMT_40ug_20pctACN_25cm_120min_20160426_OT.raw	Abundance..126
127N	Norm	PAMI-194_Mouse_U-Dd_TMT_40ug_26pctACN_25cm_120min_20160426_OT.raw	PAMI-194_Mouse_U-Dd.X127_N	PAMI-194_Mouse_U-Dd	40ug_26pctACN_25cm_120min_20160426	1	PAMI-194_Mouse_U-Dd_TMT_40ug_26pctACN_25cm_120min_20160426_OT.raw	Norm	Norm	PAMI-194_Mouse_U-Dd_TMT_40ug_26pctACN_25cm_120min_20160426_OT.raw	Abundance..127N
127N	Norm	PAMI-194_Mouse_U-Dd_TMT_40ug_20pctACN_25cm_120min_20160426_OT.raw	PAMI-194_Mouse_U-Dd.X127_N	PAMI-194_Mouse_U-Dd	40ug_20pctACN_25cm_120min_20160426	1	PAMI-194_Mouse_U-Dd_TMT_40ug_20pctACN_25cm_120min_20160426_OT.raw	Norm	Norm	PAMI-194_Mouse_U-Dd_TMT_40ug_20pctACN_25cm_120min_20160426_OT.raw	Abundance..127N
127C	Long_M	PAMI-194_Mouse_U-Dd_TMT_40ug_26pctACN_25cm_120min_20160426_OT.raw	PAMI-194_Mouse_U-Dd.X127_C	PAMI-194_Mouse_U-Dd	40ug_26pctACN_25cm_120min_20160426	1	PAMI-194_Mouse_U-Dd_TMT_40ug_26pctACN_25cm_120min_20160426_OT.raw	Long	M	PAMI-194_Mouse_U-Dd_TMT_40ug_26pctACN_25cm_120min_20160426_OT.raw	Abundance..127C
127C	Long_M	PAMI-194_Mouse_U-Dd_TMT_40ug_20pctACN_25cm_120min_20160426_OT.raw	PAMI-194_Mouse_U-Dd.X127_C	PAMI-194_Mouse_U-Dd	40ug_20pctACN_25cm_120min_20160426	1	PAMI-194_Mouse_U-Dd_TMT_40ug_20pctACN_25cm_120min_20160426_OT.raw	Long	M	PAMI-194_Mouse_U-Dd_TMT_40ug_20pctACN_25cm_120min_20160426_OT.raw	Abundance..127C
128N	Long_HF	PAMI-194_Mouse_U-Dd_TMT_40ug_26pctACN_25cm_120min_20160426_OT.raw	PAMI-194_Mouse_U-Dd.X128_N	PAMI-194_Mouse_U-Dd	40ug_26pctACN_25cm_120min_20160426	1	PAMI-194_Mouse_U-Dd_TMT_40ug_26pctACN_25cm_120min_20160426_OT.raw	Long	HF	PAMI-194_Mouse_U-Dd_TMT_40ug_26pctACN_25cm_120min_20160426_OT.raw	Abundance..128N
128N	Long_HF	PAMI-194_Mouse_U-Dd_TMT_40ug_20pctACN_25cm_120min_20160426_OT.raw	PAMI-194_Mouse_U-Dd.X128_N	PAMI-194_Mouse_U-Dd	40ug_20pctACN_25cm_120min_20160426	1	PAMI-194_Mouse_U-Dd_TMT_40ug_20pctACN_25cm_120min_20160426_OT.raw	Long	HF	PAMI-194_Mouse_U-Dd_TMT_40ug_20pctACN_25cm_120min_20160426_OT.raw	Abundance..128N
128C	Long_LF	PAMI-194_Mouse_U-Dd_TMT_40ug_26pctACN_25cm_120min_20160426_OT.raw	PAMI-194_Mouse_U-Dd.X128_C	PAMI-194_Mouse_U-Dd	40ug_26pctACN_25cm_120min_20160426	1	PAMI-194_Mouse_U-Dd_TMT_40ug_26pctACN_25cm_120min_20160426_OT.raw	Long	LF	PAMI-194_Mouse_U-Dd_TMT_40ug_26pctACN_25cm_120min_20160426_OT.raw	Abundance..128C
128C	Long_LF	PAMI-194_Mouse_U-Dd_TMT_40ug_20pctACN_25cm_120min_20160426_OT.raw	PAMI-194_Mouse_U-Dd.X128_C	PAMI-194_Mouse_U-Dd	40ug_20pctACN_25cm_120min_20160426	1	PAMI-194_Mouse_U-Dd_TMT_40ug_20pctACN_25cm_120min_20160426_OT.raw	Long	LF	PAMI-194_Mouse_U-Dd_TMT_40ug_20pctACN_25cm_120min_20160426_OT.raw	Abundance..128C
